Time resolution is 1 ps
Starting I2S testbench...
T=152447000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=abc3 | tx_out=x
T=152803000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=abc3 | tx_out=0
T=153868000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=abc3 | tx_out=1
T=154223000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=abc3 | tx_out=0
T=154934000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=abc3 | tx_out=1
T=155289000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=abc3 | tx_out=0
T=155999000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=abc3 | tx_out=1
T=157065000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=abc3 | tx_out=0
T=157420000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=abc3 | tx_out=1
T=157775000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=abc3 | tx_out=0
T=164169000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=acc3 | tx_out=x
T=164524000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=acc3 | tx_out=1
T=164879000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=acc3 | tx_out=0
T=165235000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=acc3 | tx_out=1
T=165590000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=acc3 | tx_out=0
T=165945000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=acc3 | tx_out=1
T=166300000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=acc3 | tx_out=0
T=166655000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=acc3 | tx_out=1
T=167011000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=acc3 | tx_out=0
T=167366000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=acc3 | tx_out=1
T=168076000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=acc3 | tx_out=0
T=169497000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=acc3 | tx_out=1
